ID,Group,Credit,Title,Prof,Time,Description,URL
20002,1,3,رفتار شکل‌پذیر سازه‌های فولادی,سیدوحید خونساری,شنبه و دوشنبه 15 تا 16:30,,vc.sharif.edu/khonsari
20006,1,3,محاسبات عددی,سعید سعید منیر,یک‌شنبه و سه‌شنبه 13:30 تا 15,,cw.sharif.edu
20006,2,3,محاسبات عددی,سعید سعید منیر,یک‌شنبه و سه‌شنبه 15 تا 16:30,,cw.sharif.edu
20009,1,0,آشنایی با مهندسی عمران,علی رضا معززی مهر طهران,چهارشنبه 15 تا 17,,cw.sharif.edu
20010,1,3,قابلیت اعتماد، ریسک و تاب‌آوری,مجتبی محصولی,شنبه و دوشنبه 9 تا 10:30,,vc.sharif.edu/mahsuli
20011,1,3,استاتیک,علی رضا معززی مهر طهران,یک‌شنبه و سه‌شنبه 9 تا 10:30,,cw.sharif.edu
20012,1,3,دینامیک,محسن قائمیان,یک‌شنبه و سه‌شنبه 10:30 تا 12,,vc.sharif.edu/ghaemian
20012,2,3,دینامیک,علی بخشی,یک‌شنبه و سه‌شنبه 10:30 تا 12,,vc.sharif.edu/bakhshi
20014,1,3,ریاضی مهندسی پیشرفته,ساناز مقیم,دوشنبه و سه‌شنبه 7:30 تا 9,مخصوص گرایش آب و محیط زیست و راه و ترابری,vc.sharif.edu/moghim
20014,2,3,ریاضی مهندسی پیشرفته,فیاض رحیم زاده روفوئی,یک‌شنبه و سه‌شنبه 10:30 تا 12,,vc.sharif.edu/rofooei
20014,3,3,ریاضی مهندسی پیشرفته,محمدعلی فیوضات,یک‌شنبه و سه‌شنبه 10:30 تا 12,,cw.sharif.edu
20017,1,2,طراحی سازه‌های بتنی ۲,پنام زرفام,یک‌شنبه 10:30 تا 12:30,,cw.sharif.edu
20021,1,3,ترمیم و بهسازی سازه‌ها به وسیله الیاف پلیمری,وهب توفیق,شنبه و دوشنبه 9 تا 10:30," ",cw.sharif.edu
20024,1,3,خلاقیت و حل مسئله در مهندسی,میرمصدق جمالی,یک‌شنبه و سه‌شنبه 10:30 تا 12,دانشجویان کارشناسی برای اخذ درس حتماباید تایید مدرس درس را بگیرند,vc.sharif.edu/jamali
20101,1,1,آز جامدات,علیرضا خالو,یک‌شنبه 13 تا 15,,
20101,2,1,آز جامدات,وهب توفیق,دوشنبه 13 تا 15,,
20111,1,3,مکانیک جامدات ۱,امیررضا خوئی,شنبه و دوشنبه 9 تا 10:30,,cw.sharif.edu
20111,2,3,مکانیک جامدات ۱,حسین محمدی شجاع,شنبه و دوشنبه 9 تا 10:30,,vc.sharif.edu/shodja
20120,1,3,مهندسی راه و ترافیک,حبیب اله نصیری,یک‌شنبه و سه‌شنبه 9 تا 10:30,,vc.sharif.edu/nassiri
20121,1,3,تئوری سازه ۱,محمدعلی فیوضات,یک‌شنبه و سه‌شنبه 15 تا 16:30,,cw.sharif.edu
